publicHolidayCode,date
1,"January 1, 2019"
1,"April 19, 2019"
1,"April 22, 2019"
1,"May 1, 2019"
1,"May 30, 2019"
1,"May 31, 2019"
1,"June 10, 2019"
1,"June 20, 2019"
1,"June 21, 2019"
1,"October 3, 2019"
1,"October 4, 2019"
1,"December 24, 2019"
1,"December 25, 2019"
1,"December 26, 2019"
1,"December 27, 2019"
1,"December 28, 2019"
1,"December 29, 2019"
1,"December 30, 2019"
1,"December 31, 2019"
1,"January 1, 2020"
1,"April 10, 2020"
1,"April 13, 2020"
1,"May 1, 2020"
1,"May 21, 2020"
1,"May 22, 2020"
1,"June 1, 2020"
1,"June 11, 2020"
1,"June 12, 2020"
1,"October 3, 2020"
1,"December 24, 2020"
1,"December 25, 2020"
1,"December 26, 2020"
1,"December 27, 2020"
1,"December 28, 2020"
1,"December 29, 2020"
1,"December 30, 2020"
1,"December 31, 2020"
1,"January 1, 2021"
1,"April 2, 2021"
1,"April 5, 2021"
1,"May 1, 2021"
1,"May 13, 2021"
1,"May 14, 2021"
1,"May 24, 2021"
1,"June 3, 2021"
1,"June 4, 2021"
1,"October 3, 2021"
1,"December 24, 2021"
1,"December 25, 2021"
1,"December 26, 2021"
1,"December 27, 2021"
1,"December 28, 2021"
1,"December 29, 2021"
1,"December 30, 2021"
1,"December 31, 2021"
1,"January 1, 2022"
1,"April 15, 2022"
1,"April 18, 2022"
1,"May 1, 2022"
1,"May 26, 2022"
1,"May 27, 2022"
1,"June 6, 2022"
1,"June 16, 2022"
1,"June 17, 2022"
1,"October 3, 2022"
1,"December 24, 2022"
1,"December 25, 2022"
1,"December 26, 2022"
1,"December 27, 2022"
1,"December 28, 2022"
1,"December 29, 2022"
1,"December 30, 2022"
1,"December 31, 2022"
1,"January 1, 2023"
1,"April 7, 2023"
1,"April 10, 2023"
1,"May 1, 2023"
1,"May 18, 2023"
1,"May 19, 2023"
1,"May 29, 2023"
1,"June 8, 2023"
1,"June 9, 2023"
1,"October 2, 2023"
1,"October 3, 2023"
1,"December 24, 2023"
1,"December 25, 2023"
1,"December 26, 2023"
1,"December 27, 2023"
1,"December 28, 2023"
1,"December 29, 2023"
1,"December 30, 2023"
1,"December 31, 2023"
1,"January 1, 2024"
1,"March 29, 2024"
1,"April 1, 2024"
1,"May 1, 2024"
1,"May 9, 2024"
1,"May 10, 2024"
1,"May 20, 2024"
1,"May 30, 2024"
1,"May 31, 2024"
1,"October 3, 2024"
1,"October 4, 2024"
1,"December 24, 2024"
1,"December 25, 2024"
1,"December 26, 2024"
1,"December 27, 2024"
1,"December 28, 2024"
1,"December 29, 2024"
1,"December 30, 2024"
1,"December 31, 2024"
1,"January 1, 2025"
1,"April 18, 2025"
1,"April 21, 2025"
1,"May 1, 2025"
1,"May 2, 2025"
1,"May 29, 2025"
1,"May 30, 2025"
1,"June 9, 2025"
1,"June 19, 2025"
1,"June 20, 2025"
1,"October 3, 2025"
1,"December 24, 2025"
1,"December 25, 2025"
1,"December 26, 2025"
1,"December 27, 2025"
1,"December 28, 2025"
1,"December 29, 2025"
1,"December 30, 2025"
1,"December 31, 2025"
